.,English,Spanish,French,German,Italian,Portuguese,Polish,Japanese,Chinese
// ICONS
ICON_SKILL_STRENGTH,,,,,,,,,
ICON_SKILL_AGILITY,,,,,,,,,
ICON_SKILL_OBSERVATION,,,,,,,,,
ICON_SKILL_LORE,,,,,,,,,
ICON_SKILL_INFLUENCE,,,,,,,,,
ICON_SKILL_WILL,,,,,,,,,
ICON_ACTION,,,,,,,,,
ICON_SUCCESS_RESULT,,,,,,,,,
ICON_INVESTIGATION_RESULT,,,,,,,,,
ICON_PRODUCT_MAD00
ICON_PRODUCT_MAD01,,,,,,,,,
ICON_PRODUCT_MAD06,,,,,,,,,
ICON_PRODUCT_MAD09,,,,,,,,,
ICON_PRODUCT_MAD20,,,,,,,,,
ICON_PRODUCT_MAD21,,,,,,,,,
ICON_PRODUCT_MAD22,,,,,,,,,
ICON_PRODUCT_MAD23,,,,,,,,,

// TEXTS

ABILITY,Ability,Capacidad,,Fähigkeit,,,,,
ABOUT,About,Acerca de,,Über Valkyie,,,,,
ABOUT_FFG,"Valkyrie is a game master helper tool inspired by Fantasy Flight Games' Descent: Road to Legend.  Most images used are imported from FFG applications are are copyright FFG and other rights holders.","Valkyrie es una App de ayuda de director de juego inspirada por Descent: Camino a Leyenda, de Fantasy Flight Games. La mayoría de las imágenes utilizadas se importan de la aplicación de FFG y son propiedad de FFG con todos los derechos reservados.",,"Valkyrie ist ein durch Fantasy Flight Games' Descent: Road to Legend inspiriertes  Gamemaster-Tool. Die meisten Bildressources werden aus FFG-Anwendungen importiert und unterliegen daher dem Copyright von FGG und anderen Rechteinhabern.",,,,,
ABOUT_LIBS,"Valkyrie uses DotNetZip-For-Unity and has code derived from Unity Studio and .NET Ogg Vorbis Encoder.","Valkyrie utiliza DotNetZip-For-Unity y posee código derivado de Unity Studio y .NET Ogg Vorbis Encoder.",,"Valkyrie benutzt DotNetZip-For-Unity und enthält Code der auf Unity Studio und dem .NET Vorbis Encoder aufbaut.",,,,,
ACTIONS,Actions,Acciones,,Aktionen,,,,,
ACTIVATED,Activated,Activado,,Aktiviert,,,,,
ACTIVATION,Activation,Activación,,Aktivierung,,,,,
ACTIVATIONS,Activations,Activaciones,,Aktivierungen,,,,,
ADD_COMPONENTS,"Add Components:","Añadir Componentes:",,Erweiterungen hinzufügen:,,,,,
ASSIGN,Assign,Asignar,,Hinzu,,,,,
ATTACK,Attack,Atacar,,Angriff,,,,,
ATTACK_MESSAGE,Attack Message:,Mensaje Ataca:,,Angriffsmeldung:,,,,,
AUDIO,Audio,Audio,,Audio,,,,,
BACK,Back,Volver,,Zurück,,,,,
BASE,Base,Base,,Basis,,,,,
BUTTONS,Buttons,Botones,,Buttons,,,,,
CAMERA,Camera,Cámara,,Kamera,,,,,
CANCEL,Cancel,Cancelar,,Abbrechen,,,,,
CHOOSE_LANG,Choose Language,Elige Idioma,,Sprache wählen,,,,,
CLEAR_FIRE,Clear Fire,Quitar fuego,,Feuer gelöscht,,,,,
COLOR,Colour,Color,,Farbe,,,,,
COMPONENT_NAME,Component Name:,Nombre del Componente:,,Name der Erweiterung,,,,,
COMPONENT_TO_DELETE,"Component to Delete:","Componente a Eliminar:",,"Zu löschende Erweiterung:",,,,,
CONTENT_IMPORT,Import Content,Importar Contenido,,Importiere Inhalt,,,,,
CONTENT_IMPORTING,Importing...,Importando...,,Importiere...,,,,,
CONTENT_REIMPORT,Reimport Content,Reimportar Contenido,,Reimportiere Inhalt,,,,,
COPY,Copy,Copiar,,Kopieren,,,,,
CUSTOM_MONSTER,Custom Monster,Monstruo Personalizado,,Spezial-Monster,,,,,
D2E_APP_NOT_FOUND,"Unable to locate Road to Legend, install via Steam","Imposible localizar ""Road to Legend"", instalar desde Steam",,"""Road to Legend""-Installation konnte nicht gefunden werden, bitte über Steam installieren",,,,,
D2E_HEROES_NAME,Heroes,Héroes,,Helden,,,,,
D2E_HERO_NAME,Hero,Héroe,,Held,,,,,
D2E_NAME,Descent: Journeys in the Dark Second Edition,Descent: Viaje a las Profundidades Segunda Edición,,Descent 2. Edition: Die Reise ins Dunkel,,,,,
D2E_QUEST_NAME,Quest,Aventura,,Quest,,,,,
DEFEATED,Defeated,Derrotado,,Besiegt,,,,,
DELAYED_EVENTS,"DEPRECIATED Delayed Events:",DEPRECIADO Eventos Atrasados:,,"DEPRECIATED Verzögerte Ereignisse:",,,,,
DELETE,Delete,Eliminar,,Löschen,,,,,
DIALOG,Dialog,Diálogo,,Dialog,,,,,
DOOR,Door,Puerta,,Tür,,,,,
DOWNLOAD,Download,Descargar,,Download,,,,,
E,E,E,,E,,,,,
EFFECTS,Effects,Efectos,,Auswirkungen,,,,,
EMPTY,,,,,,,,,
END_TURN,End Turn,Fin del Turno,,Letzter Zug,,,,,
EVADE,Evade,Esquivar,,Ausweichen,,,,,
EVENT,Event,Evento,,Ereignis,,,,,
EXIT,Exit,Salir,,Verlassen,,,,,
FINISHED,Finished,Terminado,,Beendet,,,,,
FIRST,First,Primero,,Erster,,,,,
FORCE_ACTIVATE,Force Activate,Forzar Activación,,Erzwinge Aktivierung,,,,,

HEALTH,Health,Salud,,Ausdauer,,,,,
HIGHLIGHT,Highlight,Destacar,,Markieren,,,,,
HORROR_CHECK,Horror Check,Horror,,Horrortest,,,,,
INDENT,"  {0}","  {0}",,"  {0}",,,,,
INFO,Info,Información,,Info,,,,,
INFORMATION,Information,Información,,Information,,,,,
INITIAL_MESSAGE,Initial Message:,Mensaje Inicial:,,Eingangstext:,,,,,
ITEM,Item,Objeto,,Gegenstand,,,,,
KO,KO,KO,,KO,,,,,
LOAD_QUEST,Load {0},Cargar {0},,Lade {0},,,,,
LOG,Log,Log,,Log,,,,,
MAIN_MENU,Main Menu,Menú Principal,,Hauptmenü,,,,,
MAX,Max,Max,,Max,,,,,
MAX_CAM,Max Cam,Cam Max,,Kam Max,,,,,
MENU,Menu,Menú,,Menü,,,,,
MIN,Min,Min,,Min,,,,,
MIN_CAM,Min Cam,Cam Min,,Kam Min,,,,,
