.,English,Spanish,French,German,Italian,Portuguese,Polish,Japanese,Chinese
// ICONS
ICON_SKILL_STRENGTH,,,,,,,,,
ICON_SKILL_AGILITY,,,,,,,,,
ICON_SKILL_OBSERVATION,,,,,,,,,
ICON_SKILL_LORE,,,,,,,,,
ICON_SKILL_INFLUENCE,,,,,,,,,
ICON_SKILL_WILL,,,,,,,,,
ICON_ACTION,,,,,,,,,
ICON_SUCCESS_RESULT,,,,,,,,,
ICON_INVESTIGATION_RESULT,,,,,,,,,
ICON_PRODUCT_MAD00
ICON_PRODUCT_MAD01,,,,,,,,,
ICON_PRODUCT_MAD06,,,,,,,,,
ICON_PRODUCT_MAD09,,,,,,,,,
ICON_PRODUCT_MAD20,,,,,,,,,
ICON_PRODUCT_MAD21,,,,,,,,,
ICON_PRODUCT_MAD22,,,,,,,,,
ICON_PRODUCT_MAD23,,,,,,,,,

// TEXTS

ABILITY,Ability,Capacidad,Capacité,Fähigkeit,Abilità,Habilidade,,,
ABOUT,About,Acerca de,A propos,Über Valkyrie,Informazioni su,Sobre Valkyrie,,,
ABOUT_FFG,"Valkyrie is a game master helper tool inspired by Fantasy Flight Games' Descent: Road to Legend.  Most images used are imported from FFG applications are are copyright FFG and other rights holders.","Valkyrie es una App de ayuda de director de juego inspirada por Descent: Camino a Leyenda, de Fantasy Flight Games. La mayoría de las imágenes utilizadas se importan de la aplicación de FFG y son propiedad de FFG con todos los derechos reservados.","Valkyrie est une application d'aide de jeu inspiré par Descent : Road to Legend de Fantasy Flight Games. La plupart des images utilisées sont issues des applications FFG et sont la propriété de FFG. Tous droits réservés.","Valkyrie ist ein durch Fantasy Flight Games' Descent: Road to Legend inspiriertes Gamemaster-Tool. Die meisten Bildressources werden aus FFG-Anwendungen importiert und unterliegen daher dem Copyright von FGG und anderen Rechteinhabern.","Valkyrie è uno strumento di supporto ispirato da Descent: La Via per la Leggenda della Fantasy Flight Games.  Molte delle immagini utilizzate sono importate dalle applicazioni FFG che sono soggette a copyright FFG e diritti di terzi.","Valkyrie é um App de ajuda de criação de aventuras inspirado por Fantasy Flight Games' Descent: Road to Legend. A maioria das imagens utilizadas no App são da FFG e são de propriedade da FFG com todos os direitos reservados.",,,
ABOUT_LIBS,"Valkyrie uses DotNetZip-For-Unity and has code derived from Unity Studio and .NET Ogg Vorbis Encoder.","Valkyrie utiliza DotNetZip-For-Unity y posee código derivado de Unity Studio y .NET Ogg Vorbis Encoder.","Valkyrie utilise DotNetZip-For-Unity et contient du code dérivé de Unity Studio et .NET Ogg Vorbis Encoder.","Valkyrie benutzt DotNetZip-For-Unity und enthält Code der auf Unity Studio und dem .NET Vorbis Encoder aufbaut.","Valkyrie utilizza DotNetZip-For-Unity e codici derivanti da Unity Studio e .NET Ogg Vorbis Encoder","Valkyrie utilizza DotNetZip-For-Unity e codici derivanti da Unity Studio e .NET Ogg Vorbis Encoder","Valkyrie usa DotNetZip-For-Unity e tem código derivado da Unity Studio e .NET Ogg Vorbis Encoder.",,,
ACTIONS,Actions,Acciones,Actions,Aktionen,Azioni,Ações,,,
ACTIVATED,Activated,Activado,Activé,Aktiviert,Attivo,Ativado,,,
ACTIVATION,Activation,Activación,Activation,Aktivierung,Attivazione,Ativação,,,
ACTIVATIONS,Activations,Activaciones,Activations,Aktivierungen,Attivazioni,Ativações,,,
ADD_COMPONENTS,Add Components:,Añadir Componentes:,Ajouter éléments :,Komponente hinzufügen:,Aggiungi Componente,Adicionar Componentes,,,
ASSIGN,Assign,Asignar,Assigner,Hinzu,Assegna,,,,
ATTACK,Attack,Atacar,Attaquer,Angriff,Attacca,Ataque,,,
ATTACK_MESSAGE,Attack Message:,Mensaje Ataca:,Message en cas d'attaque :,Angriffsmeldung:,Messaggio d'attacco,Mensagem de Ataque,,,
AUDIO,Audio,Audio,Audio,Audio,Audio,Audio,,,
BACK,Back,Volver,Retour,Zurück,Indietro,voltar,,,
BASE,Base,Base,Base,Basis,Base,Base,,,
BUTTON,Button,Botón,Bouton,Schaltfläche,Pulsante,Botão,,,
BUTTONS,Buttons,Botones,Boutons,Schaltflächen,Pulsanti,Botões,,,
CAMERA,Camera,Cámara,Camera,Kamera,Camera,Camera,,,
CANCEL,Cancel,Cancelar,Annuler,Abbrechen,Annulla,Cancelar,,,
CHOOSE_LANG,Choose Language,Elige Idioma,Choix de la langue,Sprache wählen,Lingua,Escolher Idioma,,,
CLEAR_FIRE,Clear Fire,Quitar fuego,Eteindre le feu,Feuer gelöscht,Incendio Estinto,Apagar Incêndio,,,
COLOR,Colour,Color,Couleur,Farbe,Colore,Cor,,,
COMPONENT_NAME,Component Name:,Nombre del Componente:,Nom de l'élément :,Name der Erweiterung,Importa,Nome do Componente,,,
COMPONENT_TO_DELETE,"Component to Delete:","Componente a Eliminar:","Elément à supprimer","Zu löschende Erweiterung:","Contenuto da Eliminare",Deletar Componente,,,
CONTENT_IMPORT,Import Content,Importar Contenido,Importer du contenu,Importiere Inhalt,Contenuto Importato,Importar Componente,,,
CONTENT_IMPORTING,Importing...,Importando...,Import...,Importiere...,In aggiornamento...,Importando...,,,
CONTENT_REIMPORT,Reimport Content,Reimportar Contenido,Réimporter du contenu,Reimportiere Inhalt,Reimporta Contenuto,Reimportar Componente,,,
CONTINUE,Continue,Continuar,Continuer,Weiter,Continua,Continuar,Kontynuuj,続ける,繼續
COPY,Copy,Copiar,Copier,Kopieren,Copia,Copiar,,,
CUSTOM_MONSTER,CustomMonster,Monstruo Personalizado,Monstre personnalisé,Spezial-Monster,Mostro personalizzato,Monstro Personalizado,,,
D2E_APP_NOT_FOUND,"Unable to locate Road to Legend, install via Steam","Imposible localizar ""Road to Legend"", instalar desde Steam","Impossible de localiser l'installation de Road to Legend via Steam","""Road to Legend""-Installation konnte nicht gefunden werden, bitte über Steam installieren","Impossibile trovare "Road of Legend", installalo con Steam","Impossivel encontrar "Road of Legend", instalar via Steam",,,
D2E_HEROES_NAME,Heroes,Héroes,Héros,Helden,Eroi,Heróis,,,
D2E_HERO_NAME,Hero,Héroe,Héro,Held,Eroe,Herói,,,
